,city,number,update_time
296,bj, 41429 ,2018-06-28
297,sz, 24979 ,2018-06-28
298,sh, 73205 ,2018-06-28
299,hz, 11794 ,2018-06-28
300,gz, 21210 ,2018-06-28
301,cd, 36577 ,2018-06-29
302,cq, 15009 ,2018-06-29
303,bj, 41712 ,2018-06-29
304,sz, 25146 ,2018-06-29
305,sh, 73061 ,2018-06-29
306,hz, 11930 ,2018-06-29
307,gz, 20951 ,2018-06-29
308,cd, 36841 ,2018-06-30
309,cq, 15409 ,2018-06-30
310,bj, 41974 ,2018-06-30
311,sz, 25167 ,2018-06-30
312,sh, 72769 ,2018-06-30
313,hz, 12052 ,2018-06-30
314,gz, 20924 ,2018-06-30
315,cd, 37219 ,2018-07-01
316,cq, 15825 ,2018-07-01
317,bj, 41950 ,2018-07-01
318,sz, 25159 ,2018-07-01
319,sh, 72846 ,2018-07-01
320,hz, 12044 ,2018-07-01
321,gz, 20840 ,2018-07-01
322,cd, 37329 ,2018-07-02
323,cq, 15880 ,2018-07-02
324,bj, 41830 ,2018-07-02
325,sz, 25110 ,2018-07-02
326,sh, 72800 ,2018-07-02
327,hz, 12032 ,2018-07-02
328,gz, 20810 ,2018-07-02
329,cd, 37342 ,2018-07-03
330,cq, 15990 ,2018-07-03
331,bj, 41909 ,2018-07-03
332,sz, 24938 ,2018-07-03
333,sh, 72808 ,2018-07-03
334,hz, 12025 ,2018-07-03
335,gz, 20722 ,2018-07-03
336,cd, 37404 ,2018-07-04
337,cq, 16156 ,2018-07-04
338,bj, 41955 ,2018-07-04
339,sz, 25125 ,2018-07-04
340,sh, 72724 ,2018-07-04
341,hz, 12073 ,2018-07-04
342,gz, 20336 ,2018-07-04
343,cd, 37782 ,2018-07-05
344,cq, 16395 ,2018-07-05
345,bj, 42175 ,2018-07-05
346,sz, 25173 ,2018-07-05
347,sh, 72820 ,2018-07-05
348,hz, 12237 ,2018-07-05
349,gz, 20503 ,2018-07-05
350,cd, 38028 ,2018-07-06
351,cq, 16589 ,2018-07-06
352,bj, 42499 ,2018-07-06
353,sz, 25289 ,2018-07-06
354,sh, 72932 ,2018-07-06
